x,y,z,cluster,cell
-260.85844050999685,-161.55408073182156,-20.748909179223514,4,DG hippocampus cells
-225.33440207695685,-167.43904670527456,-17.308051631352715,4,DG hippocampus cells
-270.4863016144468,-159.93683434451856,-20.875425380035516,4,DG hippocampus cells
-265.28784336032686,-160.32992792512454,-23.658998541599214,4,DG hippocampus cells
-224.58070658696693,-161.43545140495854,-24.636328649266282,4,DG hippocampus cells
-239.66347789453675,-162.16941566474355,-21.571910672972912,4,DG hippocampus cells
-295.76805849332686,-156.94524352718355,-22.681660804936694,4,DG hippocampus cells
-255.59067197158674,-155.37520955880456,-23.636635880035513,4,DG hippocampus cells
-259.6065172490669,-148.34189716631653,-22.570130209640915,4,DG hippocampus cells
-233.15036253803692,-148.30238588124456,-24.247747139294773,4,DG hippocampus cells
-241.88708593408683,-146.20281484970053,-22.155254225952113,4,DG hippocampus cells
-217.21147839744685,-148.03790009003757,-23.680137526966526,4,DG hippocampus cells
-186.3824461754068,-146.35054991549254,-20.202887370481413,4,DG hippocampus cells
-224.16289997803688,-141.88620827706853,-21.959726519730616,4,DG hippocampus cells
-206.6905265559069,-142.59709461343658,-23.532891086686345,4,DG hippocampus cells
-256.70306267773685,-136.33970026951056,-25.233995852700666,4,DG hippocampus cells
-216.20190836256688,-139.99024151870458,-23.376853168256062,4,DG hippocampus cells
-249.36193356798685,-140.36000691929758,-19.715797448960213,4,DG hippocampus cells
-237.46802290661685,-132.90137928448354,-19.068633978351116,4,DG hippocampus cells
-240.11307054008694,-130.59184768521357,-24.074988734152356,4,DG hippocampus cells
-212.43728539127687,-129.73448674706054,-23.803817413714274,4,DG hippocampus cells
-203.2832018958868,-133.57244219165858,-22.654893633252776,4,DG hippocampus cells
-229.36084184697688,-127.38624829089156,-22.968051353555765,4,DG hippocampus cells
-221.28130426166672,-122.06463583243954,-24.011085942278612,4,DG hippocampus cells
-206.40848245816687,-118.17636799271457,-21.900856076674614,4,DG hippocampus cells
-227.76245222116677,-116.63755023767254,-24.556903021466464,4,DG hippocampus cells
-217.93822612677673,-108.34930749622657,-21.767794012701316,4,DG hippocampus cells
-199.2718948709969,-107.57369306176355,-23.832134033881665,4,DG hippocampus cells
-205.12528398793688,-106.99017281766055,-23.086884610280745,4,DG hippocampus cells
-221.84654131076672,-100.76306721290854,-24.176602490257505,4,DG hippocampus cells
-183.3413751643568,-102.85947834193655,-19.49674962702351,4,DG hippocampus cells
-209.90041421138676,-99.74989444473255,-24.530437921667485,4,DG hippocampus cells
-183.3173472501469,-93.14856053330857,-22.795385660960914,4,DG hippocampus cells
-224.1089585998268,-96.35878580087956,-23.616684565914476,4,DG hippocampus cells
-198.37002215628672,-90.13519251922656,-23.390832207212295,4,DG hippocampus cells
-1003.1711361596208,-86.47711228275955,-23.454965819513454,4,DG hippocampus cells
-199.86137345202678,-84.60469850273353,-23.150701675920956,4,DG hippocampus cells
-149.77002553846683,-42.06478622122455,-23.290121637997295,4,DG hippocampus cells
-162.06907487557692,-43.08267140133353,-22.959122672888455,4,DG hippocampus cells
-440.28073245939186,127.65607756314648,-21.33001690442571,4,DG hippocampus cells
-783.6274557265278,355.2254985676774,-22.203525429442625,4,DG hippocampus cells
-829.2128875732689,396.4852996140804,-21.933569330377114,4,DG hippocampus cells
-827.7140620756628,422.64875310901846,-22.70151042990541,4,DG hippocampus cells
-871.3803166888938,457.6560690272985,-22.860371350039834,4,DG hippocampus cells
-814.8288426275749,478.9834206257874,-24.889401686290284,4,DG hippocampus cells
-770.9375464160308,552.1808521030355,-24.192325333857625,4,DG hippocampus cells
-693.2788042971679,553.3090161621254,-18.961793693989016,4,DG hippocampus cells
-718.7950573855999,557.3082599281654,-24.121779715588495,4,DG hippocampus cells
-726.1990428650578,562.2090575614754,-24.027637020928985,4,DG hippocampus cells
-715.2816072102358,589.3741457007955,-23.697189277008732,4,DG hippocampus cells
-647.2298099800919,608.1080975793955,-23.131046349206315,4,DG hippocampus cells
-634.0015424759208,616.8264649786254,-23.407183309507534,4,DG hippocampus cells
-647.3234690064209,631.2216376833355,-23.188283971794224,4,DG hippocampus cells
-245.33296657335677,-340.09537570039754,-19.031639428708115,4,DG hippocampus cells
-173.6722050801668,-312.10179788279754,-19.617385428196613,4,DG hippocampus cells
-505.06401931322785,-254.75550875298956,-20.670464411707414,4,DG hippocampus cells
-295.0183680717669,-247.09390040316956,-17.346348792379015,4,DG hippocampus cells
-191.56715400778694,-226.63394092984555,-18.293526907184813,4,DG hippocampus cells
-386.13656625729686,-222.24819327309055,-20.301436771661116,4,DG hippocampus cells
-165.81772888188675,-219.05511005049854,-22.815036052792983,4,DG hippocampus cells
-193.81638143402688,-217.00910104605455,-22.952531298367695,4,DG hippocampus cells
-148.90208398175673,-215.39921778563254,-23.565331446715213,4,DG hippocampus cells
-182.0545496683269,-214.93587348970655,-22.447215807098853,4,DG hippocampus cells
-228.03514575500685,-213.31714619516856,-15.773208134046214,4,DG hippocampus cells
-161.24527483810675,-211.88730416711957,-23.224480950786784,4,DG hippocampus cells
-284.83787579445675,-209.03689158346856,-18.260680144609516,4,DG hippocampus cells
-193.37682009239688,-209.96199514269756,-20.260535307328617,4,DG hippocampus cells
-168.96168400480678,-206.15796858044553,-20.506182142743114,4,DG hippocampus cells
-222.69922031633678,-199.80428723724458,-21.171568797273213,4,DG hippocampus cells
-246.6177977821469,-202.64172525765053,-20.973826374267414,4,DG hippocampus cells
-188.07069525292673,-200.71784202191157,-23.31230131734805,4,DG hippocampus cells
-177.71410724631687,-206.46963228407958,-19.209755132782814,4,DG hippocampus cells
-260.8524614264468,-199.93038072745856,-23.388163632448915,4,DG hippocampus cells
-160.29116242565692,-199.88119478161354,-21.616644163034415,4,DG hippocampus cells
-193.94775097104684,-196.27832575783054,-22.816347804318916,4,DG hippocampus cells
-257.0684557621969,-193.27356622306456,-17.691588722394116,4,DG hippocampus cells
-177.2996869291669,-195.66749211509858,-21.048941675036616,4,DG hippocampus cells
-301.50310197158683,-196.63349089213756,-27.174154546702184,4,DG hippocampus cells
-142.20223728086694,-193.51925871859856,-23.999054246014893,4,DG hippocampus cells
-206.64984015716686,-190.26225466125356,-19.903457179794014,4,DG hippocampus cells
-182.79729790696683,-188.40401217058155,-23.550271100462815,4,DG hippocampus cells
-134.60678912361686,-186.02995477507858,-17.728213575967015,4,DG hippocampus cells
-199.2282985791469,-191.03759472148755,-21.014540308717116,4,DG hippocampus cells
-170.5019845454069,-187.15824801792758,-21.025099076485414,4,DG hippocampus cells
-189.11766565784683,-190.61234210030955,-19.894142808002613,4,DG hippocampus cells
-119.23222689827685,-189.08754289604758,-23.683445064786245,4,DG hippocampus cells
-158.13904449447682,-182.38252429329054,-21.738300443616414,4,DG hippocampus cells
-179.58106242454687,-178.21403700131356,-21.927022723241116,4,DG hippocampus cells
-195.9213683884368,-181.30511990712756,-18.745280885031914,4,DG hippocampus cells
-187.4479635062669,-178.50372051994555,-19.444097078264715,4,DG hippocampus cells
-267.2787734442968,-183.10139408472253,-17.281305422088415,4,DG hippocampus cells
-127.03407414506682,-181.66387377840857,-22.044009313978812,4,DG hippocampus cells
-286.4064586789068,-179.41506213197556,-18.168262575157513,4,DG hippocampus cells
-142.57397397348677,-182.26681892190157,-21.125078476093414,4,DG hippocampus cells
-294.14002049242686,-173.78988240994858,-20.391494774426015,4,DG hippocampus cells
-277.9147436172068,-181.27506914307054,-19.345538403312315,4,DG hippocampus cells
-237.45060578352673,-170.03210736820756,-19.026313165931313,4,DG hippocampus cells
-217.72231924820676,-173.48137912161354,-21.211035192927014,4,DG hippocampus cells
-216.05432926130675,-165.15270671768354,-22.370597038914013,4,DG hippocampus cells
-301.9320573378568,-168.34676198810655,-17.982910707974213,4,DG hippocampus cells
-228.36710197158686,-162.89515755880456,-27.609487880035516,4,DG hippocampus cells
-191.58458616656685,-152.70739300932155,-19.476406639267417,4,DG hippocampus cells
-208.37015994259673,-150.39785075457957,-20.114343935058812,4,DG hippocampus cells
-225.9661983688568,-150.80861714984655,-18.867850424663914,4,DG hippocampus cells
-198.8611831883568,-149.53083564504158,-19.526250431718914,4,DG hippocampus cells
-201.8421407312769,-143.09698217120757,-23.525706872283575,4,DG hippocampus cells
-187.67044351198683,-137.28716892244057,-22.408985986096123,4,DG hippocampus cells
-219.60082009726693,-133.29549537209954,-22.834736699505186,4,DG hippocampus cells
-192.67230197158688,-136.03975755880458,-17.618487880035516,4,DG hippocampus cells
-178.69095571856678,-138.27860981504955,-20.614731836522214,4,DG hippocampus cells
-198.68687676778677,-120.68505124086954,-23.693484143622474,4,DG hippocampus cells
-180.0330373064569,-129.64946471815756,-18.699544173338012,4,DG hippocampus cells
-236.0155088797569,-123.28055772729658,-21.756143313902413,4,DG hippocampus cells
-184.28298892401676,-116.90494889182355,-23.381136019460854,4,DG hippocampus cells
-180.48944220147678,-119.32279434041357,-22.366473320648545,4,DG hippocampus cells
-191.06583094077678,-113.03659594743056,-22.544482548281955,4,DG hippocampus cells
