,X,Y,Z,cluster,cell
5284,60.26306353289027,55.80125143585042,25.18124835270183,6,"Breast cancer cells (PanCK, GATA3)"
5285,60.8242432857798,23.493388314515755,23.22321157083085,6,"Breast cancer cells (PanCK, GATA3)"
5286,58.379058648885405,-50.63281449821551,24.504813676267155,6,"Breast cancer cells (PanCK, GATA3)"
5288,54.623106267933,81.47036010495913,25.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
5290,53.41278880761553,38.0636140732131,24.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
5291,52.06466292359852,-23.750211952246673,23.788799217678445,6,"Breast cancer cells (PanCK, GATA3)"
5292,52.24892326139701,-60.34499937216509,23.961629736024392,6,"Breast cancer cells (PanCK, GATA3)"
5297,51.868957638784366,91.15939329399225,24.42400559545908,6,"Breast cancer cells (PanCK, GATA3)"
5304,47.427399197225895,15.717834852433839,24.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
5306,45.394027505626354,23.10678767176637,25.246626013016204,6,"Breast cancer cells (PanCK, GATA3)"
5308,43.833607622946545,9.359519996557992,24.507755991404608,6,"Breast cancer cells (PanCK, GATA3)"
5312,43.520609784107364,47.2207117223993,24.158018418079493,6,"Breast cancer cells (PanCK, GATA3)"
5313,41.99697248108487,54.9386140732131,25.366491680802305,6,"Breast cancer cells (PanCK, GATA3)"
5314,40.492100261926964,40.44183157643056,23.872467043920523,6,"Breast cancer cells (PanCK, GATA3)"
5318,38.66390487904408,66.18303371607021,24.815949588965566,6,"Breast cancer cells (PanCK, GATA3)"
5322,36.341457816202535,-46.279184521634704,25.85740279934808,6,"Breast cancer cells (PanCK, GATA3)"
5323,35.904299346257176,55.31097941279154,25.98308585945737,6,"Breast cancer cells (PanCK, GATA3)"
5324,32.13485840468513,81.7609583955574,25.17392234537582,6,"Breast cancer cells (PanCK, GATA3)"
5325,30.1330269028536,100.47829661289563,24.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
5331,28.795263890672004,61.453564239326056,24.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
5334,26.16636023618696,91.92432835892737,23.946083517537005,6,"Breast cancer cells (PanCK, GATA3)"
5338,23.616490106316803,24.2960166706157,24.699330270783747,6,"Breast cancer cells (PanCK, GATA3)"
5348,15.361598331425057,32.58623312083216,24.669893041346526,6,"Breast cancer cells (PanCK, GATA3)"
5350,14.034504735365942,70.51825282526556,24.319810939540275,6,"Breast cancer cells (PanCK, GATA3)"
5359,9.102550712377365,66.26813788273682,24.570845422298902,6,"Breast cancer cells (PanCK, GATA3)"
5360,8.628325659298866,-56.37712751004443,25.337894254570664,6,"Breast cancer cells (PanCK, GATA3)"
5363,5.9776384316757,106.97620805817553,24.49645945738662,6,"Breast cancer cells (PanCK, GATA3)"
5371,2.8207558405825353,-35.14929801469901,24.53289670435018,6,"Breast cancer cells (PanCK, GATA3)"
5374,-1.0880303273779077,60.81541617019866,24.807420345846303,6,"Breast cancer cells (PanCK, GATA3)"
5380,-3.9350864184242482,-1.4501743535500964,24.76561335478835,6,"Breast cancer cells (PanCK, GATA3)"
5381,-5.903603133776414,49.15839429299331,24.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
5382,-5.450484113493303,-37.261812366019285,24.46975089493573,6,"Breast cancer cells (PanCK, GATA3)"
5384,-6.330437793369697,39.72802294020812,24.6244086406897,6,"Breast cancer cells (PanCK, GATA3)"
5389,-9.417098410429617,70.64287472484216,23.549091036333984,6,"Breast cancer cells (PanCK, GATA3)"
5391,-11.132718104826893,61.4846970225218,24.01428628251395,6,"Breast cancer cells (PanCK, GATA3)"
5392,-12.188859544032823,91.2353173699164,24.8982813197348,6,"Breast cancer cells (PanCK, GATA3)"
5394,-14.586658909615721,27.49384235009086,24.99998631576969,6,"Breast cancer cells (PanCK, GATA3)"
5398,-17.138608707912454,7.246688607374608,24.430555567226435,6,"Breast cancer cells (PanCK, GATA3)"
5401,-18.263916949314137,-66.56031982870587,24.753332984487955,6,"Breast cancer cells (PanCK, GATA3)"
5404,-20.674364710508144,-8.57524520184029,25.036915074040195,6,"Breast cancer cells (PanCK, GATA3)"
5416,-29.439563108760808,40.08960129737102,24.494747861323297,6,"Breast cancer cells (PanCK, GATA3)"
5421,-33.91642364659697,62.42121480581375,25.622640294093777,6,"Breast cancer cells (PanCK, GATA3)"
