,X,Y,Z,cluster,cell
7394,234.79688905332728,-116.09707823509075,21.858309706061746,16,Macrophages (CD68)
7567,32.98828099471916,315.5526470396345,22.816185163937206,16,Macrophages (CD68)
7584,20.14212714856535,-133.1685068065193,23.239262087014126,16,Macrophages (CD68)
7729,-87.08787285143467,-325.0005068065193,23.30326208701412,16,Macrophages (CD68)
7785,-133.69878194234377,-310.01699165500406,23.239262087014126,16,Macrophages (CD68)
7917,-263.91837513453964,-273.69818717181613,21.504102269662525,16,Macrophages (CD68)
7925,-270.76356147418915,-281.1026385430463,23.981777057074012,16,Macrophages (CD68)
7928,-273.99358713714895,-228.38279252080503,24.724976372728406,16,Macrophages (CD68)
7957,-308.7232574668193,-137.78389142190395,23.239262087014126,16,Macrophages (CD68)
7972,289.2242439368865,-109.00062359484048,21.662619751247703,16,Macrophages (CD68)
8076,-112.84174381917654,-243.587861645229,21.33603628056251,16,Macrophages (CD68)
8178,216.42839657861714,374.1734621053978,18.949106646599617,16,Macrophages (CD68)
8424,-103.52453951810134,-242.65380092416638,18.92553659681805,16,Macrophages (CD68)
8504,-176.41638348973254,152.19319532114025,19.239262087014126,16,Macrophages (CD68)
8519,-186.51898396254575,-251.9981364361489,19.09111393886596,16,Macrophages (CD68)
8538,-203.81335230348947,-351.61371228597136,19.294056607562055,16,Macrophages (CD68)
8562,-231.04056515912697,-245.3415837295962,19.739262087014126,16,Macrophages (CD68)
8589,-258.1130274906099,-278.80768206425125,17.754726004539904,16,Macrophages (CD68)
8973,67.79753255397077,433.1287904907779,15.239262087014126,16,Macrophages (CD68)
9338,-229.17587285143463,-238.72050680651932,16.23126208701413,16,Macrophages (CD68)
9476,49.62069857713675,88.71720747919494,10.820214467966508,16,Macrophages (CD68)
9608,402.7590996256296,-93.70061689826241,10.79889511453706,16,Macrophages (CD68)
9735,82.89845626248939,407.4390881301895,12.049388669292611,16,Macrophages (CD68)
9844,-18.56620618476802,-345.6528818065193,11.239262087014126,16,Macrophages (CD68)
9979,-120.27180727766415,-256.55375270815864,11.43598339848954,16,Macrophages (CD68)
