,Area,X,Y,Z
287,149,626.503355704698,550.510067114094,31.463087248322147
288,40,627.325,363.4,31.55
289,88,626.2727272727273,783.0568181818181,31.818181818181817
290,156,625.6538461538462,662.7564102564103,31.076923076923077
291,100,626.06,793.77,31.78
292,46,623.2826086956521,428.80434782608694,32.0
293,96,622.1354166666666,751.6354166666666,31.541666666666668
294,113,622.141592920354,497.86725663716817,31.61061946902655
295,103,619.0194174757281,658.4368932038835,31.33009708737864
296,91,619.3186813186813,533.1098901098901,31.10989010989011
297,46,617.9347826086956,771.3260869565217,32.0
298,51,617.5294117647059,763.1960784313726,32.0
299,196,617.0102040816327,322.3061224489796,31.107142857142858
300,141,615.4397163120567,365.01418439716315,31.4468085106383
301,70,615.4571428571429,309.1857142857143,31.728571428571428
302,125,616.544,294.376,31.624
303,133,614.4661654135339,488.6015037593985,31.586466165413533
304,45,614.4222222222222,269.5111111111111,32.0
305,149,612.9865771812081,547.6778523489933,31.59731543624161
306,65,613.5846153846154,499.7076923076923,31.70769230769231
307,54,611.9444444444445,445.1666666666667,32.0
308,70,611.5857142857143,793.2142857142857,31.885714285714286
309,58,612.0172413793103,661.448275862069,31.862068965517242
310,70,611.3285714285714,562.2571428571429,31.82857142857143
311,84,611.6428571428571,456.32142857142856,32.0
312,89,612.4831460674158,419.685393258427,31.662921348314608
313,126,611.2460317460317,623.2460317460317,31.72222222222222
314,46,609.8260869565217,712.5,32.0
315,163,610.1349693251534,428.3803680981595,31.042944785276074
316,140,608.8928571428571,170.87857142857143,31.65714285714286
317,44,608.5,804.0,32.0
318,91,606.9120879120879,596.5714285714286,31.725274725274726
319,65,605.7384615384616,743.3076923076923,31.73846153846154
320,117,605.9145299145299,521.7179487179487,31.54700854700855
321,58,604.8620689655172,442.13793103448273,31.655172413793103
322,179,602.3240223463687,678.659217877095,31.16759776536313
323,75,604.2,302.04,31.893333333333334
324,53,603.3962264150944,786.4528301886793,32.0
325,157,601.5031847133758,309.4140127388535,31.235668789808916
326,267,600.0674157303371,412.40449438202245,31.029962546816478
327,61,600.016393442623,753.8688524590164,32.0
328,133,600.0451127819549,528.5413533834586,31.51127819548872
329,120,598.2416666666667,500.55,32.0
330,49,599.6530612244898,450.3469387755102,32.0
331,111,599.2972972972973,721.0450450450451,31.73873873873874
332,28,599.5,576.5,32.0
333,43,595.4186046511628,591.9767441860465,32.0
334,48,595.75,773.9375,32.0
335,153,595.9281045751634,364.36601307189545,31.22222222222222
336,71,593.7323943661971,955.7042253521126,31.830985915492956
337,206,592.8203883495146,802.7961165048544,31.45145631067961
338,108,590.2685185185185,568.7037037037037,31.814814814814813
339,156,593.1987179487179,485.8076923076923,31.512820512820515
340,144,592.5,325.7361111111111,31.604166666666668
341,55,590.8363636363637,748.7636363636364,31.854545454545455
342,66,590.6666666666666,393.92424242424244,31.833333333333332
343,52,591.0,241.5,32.0
344,49,592.2244897959183,819.8367346938776,32.0
345,48,592.0833333333334,466.4375,32.0
346,126,588.968253968254,375.7936507936508,31.404761904761905
347,74,588.7162162162163,315.1081081081081,31.716216216216218
348,105,587.3142857142857,766.5714285714286,31.504761904761907
349,112,587.3392857142857,422.85714285714283,31.455357142857142
350,52,586.7692307692307,532.1538461538462,32.0
351,77,585.4025974025974,777.1038961038961,31.7012987012987
352,116,585.8706896551724,722.4051724137931,31.57758620689655
353,65,586.6769230769231,349.6307692307692,31.861538461538462
354,124,585.1048387096774,785.0,31.532258064516128
355,38,584.9473684210526,665.2368421052631,32.0
356,66,585.1969696969697,542.3181818181819,31.87878787878788
357,83,584.9518072289156,296.1566265060241,31.698795180722893
358,59,582.6440677966102,672.542372881356,31.864406779661017
359,113,582.9026548672566,606.0442477876106,31.557522123893804
360,35,581.4571428571429,500.25714285714287,32.0
361,56,582.4285714285714,330.17857142857144,31.821428571428573
362,126,581.0,482.1111111111111,31.857142857142858
363,87,579.0689655172414,444.6551724137931,31.7816091954023
364,57,578.5087719298245,840.0701754385965,32.0
365,67,579.3134328358209,813.7910447761194,32.0
366,229,578.8471615720524,560.3318777292576,31.283842794759824
367,166,579.3253012048193,828.6927710843373,31.481927710843372
368,293,577.4368600682594,339.7269624573379,31.266211604095563
369,24,576.3333333333334,574.125,32.0
370,76,575.8552631578947,781.5526315789474,31.539473684210527
371,47,575.6382978723404,467.4468085106383,32.0
372,56,574.1428571428571,277.17857142857144,32.0
373,66,573.969696969697,760.0151515151515,31.848484848484848
374,186,575.1129032258065,653.4247311827957,31.370967741935484
