,X,Y,Z,cluster,cell
16397,-39.622114776895614,160.70423745668722,-20.854268854023005,9,Potentially fibroblasts (fibronectin)
16403,-43.89258690279593,-107.93700020668967,-21.63954492764264,11,Potentional fibroblasts (fibronectin)
16409,-47.81052057399711,-218.29576254331278,-21.72383407141431,2,Potentially fibroblasts (fibronectin)
16412,-52.682259704431885,87.7100345581365,-21.52093552068967,11,Potentional fibroblasts (fibronectin)
16422,-60.10498697715917,120.83730728540922,-21.642147641901786,2,Potentially fibroblasts (fibronectin)
16423,-60.08494787647493,85.02401305276021,-20.854268854023005,11,Potentional fibroblasts (fibronectin)
16428,-61.90016093899982,-106.43317531840677,-22.632046631800783,4,Potentially fibroblasts (fibronectin)
16433,-68.77670414887632,121.01744196554387,-20.039454039208188,2,Potentially fibroblasts (fibronectin)
16435,-71.39353421423584,-164.7992791673537,-21.177798265787708,2,Potentially fibroblasts (fibronectin)
16440,-80.79833640059707,121.29292541359371,-19.686127261102648,11,Potentional fibroblasts (fibronectin)
16442,-81.85498697715917,-138.10966241156046,-20.884571884326036,2,Potentially fibroblasts (fibronectin)
16452,-88.56881884421682,62.47562595598595,-19.434914015313325,11,Potentional fibroblasts (fibronectin)
16454,-90.96188933406154,54.33225678035876,-20.076491076245226,4,Potentially fibroblasts (fibronectin)
16456,-92.59892637109857,151.31003455813652,-20.854268854023005,9,Potentially fibroblasts (fibronectin)
16457,-92.25382833188286,-100.53702426539286,-20.854268854023005,4,Potentially fibroblasts (fibronectin)
16460,-96.82184303776523,40.81836789146985,-20.854268854023005,4,Potentially fibroblasts (fibronectin)
16461,-97.9610475832198,73.4206406187426,-20.854268854023005,2,Potentially fibroblasts (fibronectin)
16462,-98.69214171033161,-171.03450821472484,-19.898516641633627,2,Potentially fibroblasts (fibronectin)
16470,-102.90559303776524,57.083367891469834,-20.854268854023005,11,Potentional fibroblasts (fibronectin)
16475,-106.62761835422094,107.77248181552045,-19.53781315782048,11,Potentional fibroblasts (fibronectin)
16477,-110.58451195668414,-130.22555102744906,-19.80021479996895,2,Potentially fibroblasts (fibronectin)
16480,-111.60309303776523,128.28711789146985,-20.854268854023005,11,Potentional fibroblasts (fibronectin)
16481,-111.9455930377652,54.1333678914699,-22.534268854023004,11,Potentional fibroblasts (fibronectin)
16482,-112.76208426583543,111.59249069848738,-22.468303941742292,11,Potentional fibroblasts (fibronectin)
16484,-112.443370815543,-142.5010765529746,-19.87014186989603,2,Potentially fibroblasts (fibronectin)
16485,-112.87107248982005,-158.57033073866717,-19.813172963612047,2,Potentially fibroblasts (fibronectin)
16489,-114.60176325053118,70.42209129572518,-21.364907151895338,2,Potentially fibroblasts (fibronectin)
16494,-116.51786576503798,-115.89754119943927,-22.263359763113918,2,Potentially fibroblasts (fibronectin)
16495,-119.77534913532622,124.42507520854303,-21.171342024754715,4,Potentially fibroblasts (fibronectin)
16496,-121.00934303776523,82.53190955813648,-22.687602187356347,11,Potentional fibroblasts (fibronectin)
16501,-120.50559303776521,-164.77663210853018,-20.854268854023005,9,Potentially fibroblasts (fibronectin)
16503,-120.78324009658877,66.56101495029338,-20.854268854023005,2,Potentially fibroblasts (fibronectin)
16505,-121.22247926531014,104.8385774723082,-20.950077237256544,11,Potentional fibroblasts (fibronectin)
16508,-123.62809303776521,-92.66913210853016,-20.404268854023,4,Potentially fibroblasts (fibronectin)
